timesteps,episode_reward,episode_length
2,9.632882,2
8,-7.31296,6
14,-10.716345,6
20,-7.501849,6
26,-6.073663,6
32,-4.042196,6
38,-7.010537,6
44,-9.701132,6
50,-4.15221,6
56,-8.094585,6
57,9.959321,1
63,-5.150805,6
69,-5.372796,6
70,9.891446,1
73,9.265006,3
79,-13.329103,6
81,10.003363,2
87,-5.679993,6
88,10.8964,1
93,8.769831,5
94,9.999405,1
100,-5.233606,6
103,9.603813,3
104,10.375901,1
110,-6.33716,6
113,9.784144,3
114,10.406143,1
120,-5.385981,6
122,10.909056,2
127,8.503403,5
133,-5.989271,6
139,-5.846201,6
140,9.883467,1
141,10.106935,1
147,-5.183525,6
149,10.198306,2
155,-4.728038,6
161,-2.843134,6
167,8.545929,6
173,-2.306256,6
175,10.27811,2
176,9.864262,1
177,9.846731,1
179,9.756823,2
180,9.600941,1
181,10.189282,1
187,-5.251539,6
188,9.537241,1
194,-5.025142,6
198,9.985356,4
199,11.403856,1
201,9.370381,2
206,9.272613,5
212,-3.043281,6
214,9.930953,2
220,-8.198609,6
222,9.862126,2
223,10.754399,1
229,8.119021,6
235,-3.278051,6
236,9.716941,1
240,9.524594,4
246,-8.381718,6
252,-5.761291,6
