method,episode_index,initial_center_freq_mhz,initial_bandwidth_mhz,initial_insertion_loss_db,initial_return_loss_db,initial_zero_freq_mhz,success,steps,episode_reward,final_center_freq_mhz,final_bandwidth_mhz,final_insertion_loss_db,final_return_loss_db,final_zero_freq_mhz,solve_count,elapsed_total_seconds,elapsed_mean_seconds
ppo_existing,1,904.0,51.484988228041885,0.9781983687994039,35.294484830700924,946.0,True,1,10.120445777040556,906.0,46.10592504882264,1.0585914610869203,35.67774339529834,943.0,2,136.2351511999732,68.1175755999866
ppo_existing,2,903.0,54.5995410649246,1.0127569681418496,22.781495647229914,945.0,True,1,10.484023833676556,908.0,45.39729331463396,1.1055129166337465,25.01680635540851,946.0,2,135.82545679993927,67.91272839996964
ppo_existing,3,905.0,49.51272189471364,1.0841765700519803,24.102757477304152,942.0,True,1,9.868515176562303,906.0,46.910095693517924,1.0484630317468961,36.81821546091979,943.0,2,136.22170400002506,68.11085200001253
ppo_existing,4,904.0,52.9942078359288,0.9798517954547357,30.682453263313562,946.0,True,1,10.341431518706745,906.0,45.22814869281185,1.0591143877633271,30.265807037419034,944.0,2,135.84030229994096,67.92015114997048
ppo_existing,5,906.0,45.22814869281185,1.0591143877633271,30.265807037419034,944.0,True,1,9.870359256535941,906.0,45.22814869281185,1.0591143877633271,30.265807037419034,944.0,2,135.90407159994356,67.95203579997178
ppo_existing,6,906.0,46.910095693517924,1.0484630317468961,36.81821546091979,943.0,True,1,9.86094952153241,906.0,46.910095693517924,1.0484630317468961,36.81821546091979,943.0,2,136.19558429997414,68.09779214998707
ppo_existing,7,904.0,52.9942078359288,0.9798517954547357,30.682453263313562,946.0,True,1,10.257362465088613,907.0,46.23045048008287,1.0933836212238994,35.15624193827821,945.0,2,136.00998509989586,68.00499254994793
ppo_existing,8,906.0,48.63192975936854,1.0553975884843994,32.148061929044104,942.0,True,1,9.852379444545194,908.0,45.39729331463396,1.1055129166337465,25.01680635540851,946.0,2,136.1528723000083,68.07643615000416
ppo_existing,9,904.0,52.9942078359288,0.9798517954547357,30.682453263313562,946.0,True,1,10.218266194469804,904.0,49.933659500709894,0.9941808412759017,30.451965085671944,947.0,2,135.61800629994832,67.80900314997416
ppo_existing,10,906.0,48.63192975936854,1.0553975884843994,32.148061929044104,942.0,True,1,9.877379444545195,908.0,45.39729331463396,1.1055129166337465,25.01680635540851,946.0,2,136.3202790999785,68.16013954998925
ppo_existing,11,906.0,48.63192975936854,1.0553975884843994,32.148061929044104,942.0,True,1,9.852379444545194,908.0,45.39729331463396,1.1055129166337465,25.01680635540851,946.0,2,135.59048130002338,67.79524065001169
ppo_existing,12,906.0,48.63192975936854,1.0553975884843994,32.148061929044104,942.0,True,1,9.877379444545195,908.0,45.39729331463396,1.1055129166337465,25.01680635540851,946.0,2,136.3491306999931,68.17456534999656
no_tune,1,904.0,51.484988228041885,0.9781983687994039,35.294484830700924,946.0,False,0,0.0,904.0,51.484988228041885,0.9781983687994039,35.294484830700924,946.0,0,0.0,
no_tune,2,903.0,54.5995410649246,1.0127569681418496,22.781495647229914,945.0,False,0,0.0,903.0,54.5995410649246,1.0127569681418496,22.781495647229914,945.0,0,0.0,
no_tune,3,905.0,49.51272189471364,1.0841765700519803,24.102757477304152,942.0,True,0,0.0,905.0,49.51272189471364,1.0841765700519803,24.102757477304152,942.0,0,0.0,
