method,episode_count,success_rate,mean_steps,mean_episode_reward,mean_final_center_freq_mhz,mean_final_bandwidth_mhz,mean_final_insertion_loss_db,mean_final_return_loss_db,mean_final_zero_freq_mhz,mean_solve_count,mean_elapsed_total_seconds,mean_elapsed_seconds_per_solve
heuristic_rule,12,0.9166666666666666,0.8333333333333334,3.4178155461498725,905.75,48.28616502319729,1.0606619826315182,31.28428977982154,942.3333333333334,1.8333333333333333,124.99965209164657,68.17291619404084
no_tune,12,0.5833333333333334,0.0,0.0,905.0,50.10381984327254,1.0286545889004384,30.825197329974245,943.8333333333334,0.0,0.0,
ppo_existing,12,1.0,1.0,10.040072626816142,906.75,46.12774919795373,1.0740729454813251,30.044835599414057,944.9166666666666,2.0,136.0219187499703,68.01095937498515
