method,episode_index,initial_center_freq_mhz,initial_bandwidth_mhz,initial_insertion_loss_db,initial_return_loss_db,initial_zero_freq_mhz,success,steps,episode_reward,final_center_freq_mhz,final_bandwidth_mhz,final_insertion_loss_db,final_return_loss_db,final_zero_freq_mhz,solve_count,elapsed_total_seconds,elapsed_mean_seconds
ppo_existing,1,904.0,51.484988228041885,0.9781983687994039,35.294484830700924,946.0,True,1,10.140941338406389,906.0,44.37273966996157,1.081291272895,41.40256696824701,944.0,2,135.95695350004826,67.97847675002413
ppo_existing,2,903.0,54.5995410649246,1.0127569681418496,22.781495647229914,945.0,True,1,10.446523833676556,908.0,45.39729331463396,1.1055129166337465,25.01680635540851,946.0,2,135.9387182999635,67.96935914998176
ppo_existing,3,905.0,49.51272189471364,1.0841765700519803,24.102757477304152,942.0,True,1,9.856015176562304,906.0,46.910095693517924,1.0484630317468961,36.81821546091979,943.0,2,135.78154019999783,67.89077009999892
ppo_existing,4,904.0,52.9942078359288,0.9798517954547357,30.682453263313562,946.0,True,1,10.303931518706744,906.0,45.22814869281185,1.0591143877633271,30.265807037419034,944.0,2,136.12432799988892,68.06216399994446
ppo_existing,5,906.0,45.22814869281185,1.0591143877633271,30.265807037419034,944.0,True,1,9.883521527221449,906.0,44.37273966996157,1.081291272895,41.40256696824701,944.0,2,135.8971113000298,67.9485556500149
ppo_existing,6,906.0,46.910095693517924,1.0484630317468961,36.81821546091979,943.0,True,1,9.907008535437969,906.0,44.3247952299993,1.0786579922435031,44.54408490181517,944.0,2,134.62146180006675,67.31073090003338
ppo_existing,7,904.0,52.9942078359288,0.9798517954547357,30.682453263313562,946.0,True,1,10.304971280249818,903.0,43.193489974709394,1.1221283453279387,27.21658614813301,944.0,2,135.33756210003048,67.66878105001524
ppo_existing,8,906.0,48.63192975936854,1.0553975884843994,32.148061929044104,942.0,True,1,9.898941677821771,907.0,44.5952188720814,1.1001364629444688,29.694714869268125,946.0,2,136.33799939998426,68.16899969999213
ppo_existing,9,904.0,52.9942078359288,0.9798517954547357,30.682453263313562,946.0,True,1,10.030366562124229,901.0,48.546980578895685,1.0229526569808525,27.834916904009198,945.0,2,135.51163769990671,67.75581884995336
ppo_existing,10,906.0,48.63192975936854,1.0553975884843994,32.148061929044104,942.0,True,1,9.911441677821772,907.0,44.5952188720814,1.1001364629444688,29.694714869268125,946.0,2,135.11539210006595,67.55769605003297
ppo_existing,11,906.0,48.63192975936854,1.0553975884843994,32.148061929044104,942.0,True,1,9.898941677821771,907.0,44.5952188720814,1.1001364629444688,29.694714869268125,946.0,2,135.7717399999965,67.88586999999825
ppo_existing,12,906.0,48.63192975936854,1.0553975884843994,32.148061929044104,942.0,True,1,9.911441677821772,907.0,44.5952188720814,1.1001364629444688,29.694714869268125,946.0,2,135.3046711999923,67.65233559999615
no_tune,1,904.0,51.484988228041885,0.9781983687994039,35.294484830700924,946.0,False,0,0.0,904.0,51.484988228041885,0.9781983687994039,35.294484830700924,946.0,0,0.0,
no_tune,2,903.0,54.5995410649246,1.0127569681418496,22.781495647229914,945.0,False,0,0.0,903.0,54.5995410649246,1.0127569681418496,22.781495647229914,945.0,0,0.0,
no_tune,3,905.0,49.51272189471364,1.0841765700519803,24.102757477304152,942.0,True,0,0.0,905.0,49.51272189471364,1.0841765700519803,24.102757477304152,942.0,0,0.0,
no_tune,4,904.0,52.9942078359288,0.9798517954547357,30.682453263313562,946.0,False,0,0.0,904.0,52.9942078359288,0.9798517954547357,30.682453263313562,946.0,0,0.0,
