sample_id,outer_resonator_width,middle_resonator_width,adjacent_coupling_gap,cross_coupling_gap,feed_offset
sample_0001,11.8,22.8,0.5499999999999999,1.7,4.75
sample_0002,11.8,22.8,0.5499999999999999,1.75,4.6
sample_0003,11.8,22.85,0.44999999999999996,1.8,4.75
sample_0004,11.8,22.85,0.6,1.9500000000000002,4.6499999999999995
sample_0005,11.8,22.9,0.4,1.8,4.6499999999999995
sample_0006,11.8,22.9,0.49999999999999994,1.9000000000000001,4.449999999999999
sample_0007,11.8,22.9,0.5499999999999999,1.75,4.75
sample_0008,11.8,22.95,0.49999999999999994,1.85,4.6
sample_0009,11.8,23.0,0.44999999999999996,1.8,4.699999999999999
sample_0010,11.8,23.0,0.49999999999999994,1.85,4.699999999999999
sample_0011,11.8,23.0,0.5499999999999999,1.85,4.6499999999999995
sample_0012,11.8,23.05,0.44999999999999996,1.8,4.5
sample_0013,11.8,23.05,0.5499999999999999,1.7,4.6499999999999995
sample_0014,11.8,23.1,0.44999999999999996,1.75,4.6499999999999995
sample_0015,11.8,23.1,0.49999999999999994,1.7,4.699999999999999
sample_0016,11.8,23.1,0.6,1.85,4.699999999999999
sample_0017,11.8,23.15,0.44999999999999996,1.75,4.75
sample_0018,11.8,23.15,0.49999999999999994,1.7,4.5
sample_0019,11.8,23.15,0.5499999999999999,1.7,4.449999999999999
sample_0020,11.8,23.15,0.5499999999999999,1.9000000000000001,4.75
sample_0021,11.8,23.15,0.6,1.85,4.55
sample_0022,11.8,23.15,0.6,1.9000000000000001,4.6
sample_0023,11.8,23.15,0.6,1.9500000000000002,4.5
sample_0024,11.8,23.2,0.44999999999999996,1.7,4.6
sample_0025,11.8,23.25,0.44999999999999996,1.8,4.5
sample_0026,11.8,23.25,0.5499999999999999,1.9000000000000001,4.699999999999999
sample_0027,11.8,23.25,0.6,1.9500000000000002,4.6499999999999995
sample_0028,11.8,23.3,0.6,1.8,4.5
sample_0029,11.85,22.8,0.49999999999999994,1.85,4.699999999999999
sample_0030,11.85,22.8,0.49999999999999994,1.9000000000000001,4.5
sample_0031,11.85,22.8,0.5499999999999999,1.8,4.699999999999999
sample_0032,11.85,22.8,0.6,1.8,4.5
sample_0033,11.85,22.85,0.44999999999999996,1.9000000000000001,4.6499999999999995
sample_0034,11.85,22.85,0.49999999999999994,1.85,4.6
sample_0035,11.85,22.9,0.4,1.9500000000000002,4.75
sample_0036,11.85,22.9,0.44999999999999996,1.7,4.5
sample_0037,11.85,22.9,0.49999999999999994,1.8,4.5
sample_0038,11.85,22.9,0.5499999999999999,1.85,4.449999999999999
sample_0039,11.85,22.9,0.5499999999999999,1.85,4.6499999999999995
sample_0040,11.85,22.9,0.6,1.8,4.6499999999999995
sample_0041,11.85,22.95,0.44999999999999996,1.9500000000000002,4.75
sample_0042,11.85,22.95,0.5499999999999999,1.85,4.699999999999999
sample_0043,11.85,22.95,0.6,1.75,4.75
sample_0044,11.85,22.95,0.6,1.8,4.55
sample_0045,11.85,22.95,0.6,1.9500000000000002,4.5
sample_0046,11.85,23.0,0.5499999999999999,1.9000000000000001,4.5
sample_0047,11.85,23.1,0.4,1.75,4.6
sample_0048,11.85,23.1,0.44999999999999996,1.85,4.699999999999999
sample_0049,11.85,23.1,0.6,1.9500000000000002,4.5
sample_0050,11.85,23.15,0.49999999999999994,1.7,4.449999999999999
sample_0051,11.85,23.15,0.49999999999999994,1.7,4.75
sample_0052,11.85,23.15,0.49999999999999994,1.9500000000000002,4.55
sample_0053,11.85,23.15,0.6,1.8,4.55
sample_0054,11.85,23.2,0.49999999999999994,1.9500000000000002,4.699999999999999
sample_0055,11.85,23.2,0.5499999999999999,1.9500000000000002,4.6499999999999995
sample_0056,11.85,23.2,0.6,1.9000000000000001,4.6
sample_0057,11.85,23.25,0.4,1.85,4.449999999999999
sample_0058,11.85,23.25,0.4,1.9500000000000002,4.5
sample_0059,11.85,23.25,0.4,1.9500000000000002,4.75
sample_0060,11.85,23.25,0.6,1.85,4.6
sample_0061,11.85,23.25,0.6,1.9000000000000001,4.6
sample_0062,11.85,23.3,0.4,1.9000000000000001,4.699999999999999
sample_0063,11.85,23.3,0.4,1.9500000000000002,4.6499999999999995
sample_0064,11.85,23.3,0.44999999999999996,1.75,4.55
sample_0065,11.85,23.3,0.5499999999999999,1.9500000000000002,4.55
sample_0066,11.9,22.8,0.4,1.9000000000000001,4.6499999999999995
sample_0067,11.9,22.8,0.49999999999999994,1.85,4.6499999999999995
sample_0068,11.9,22.8,0.5499999999999999,1.75,4.699999999999999
sample_0069,11.9,22.8,0.5499999999999999,1.75,4.75
sample_0070,11.9,22.8,0.6,1.9000000000000001,4.5
sample_0071,11.9,22.85,0.49999999999999994,1.8,4.6499999999999995
sample_0072,11.9,22.85,0.49999999999999994,1.85,4.6
sample_0073,11.9,22.85,0.49999999999999994,1.9500000000000002,4.6
sample_0074,11.9,22.9,0.4,1.75,4.5
sample_0075,11.9,22.95,0.4,1.9000000000000001,4.5
sample_0076,11.9,22.95,0.4,1.9500000000000002,4.449999999999999
sample_0077,11.9,22.95,0.44999999999999996,1.9500000000000002,4.6
sample_0078,11.9,23.0,0.4,1.9000000000000001,4.6
sample_0079,11.9,23.0,0.6,1.7,4.75
sample_0080,11.9,23.05,0.4,1.75,4.75
sample_0081,11.9,23.05,0.44999999999999996,1.7,4.449999999999999
sample_0082,11.9,23.05,0.49999999999999994,1.9000000000000001,4.699999999999999
sample_0083,11.9,23.1,0.49999999999999994,1.7,4.5
sample_0084,11.9,23.1,0.49999999999999994,1.75,4.6499999999999995
sample_0085,11.9,23.1,0.49999999999999994,1.8,4.449999999999999
sample_0086,11.9,23.15,0.49999999999999994,1.9000000000000001,4.55
sample_0087,11.9,23.15,0.6,1.9000000000000001,4.6
sample_0088,11.9,23.2,0.4,1.7,4.699999999999999
sample_0089,11.9,23.2,0.4,1.85,4.449999999999999
sample_0090,11.9,23.2,0.4,1.9500000000000002,4.699999999999999
sample_0091,11.9,23.2,0.6,1.9000000000000001,4.699999999999999
sample_0092,11.9,23.25,0.4,1.7,4.55
sample_0093,11.9,23.25,0.4,1.75,4.5
sample_0094,11.9,23.25,0.4,1.85,4.5
sample_0095,11.9,23.25,0.44999999999999996,1.75,4.449999999999999
sample_0096,11.9,23.25,0.44999999999999996,1.9000000000000001,4.6
sample_0097,11.9,23.25,0.49999999999999994,1.7,4.6
sample_0098,11.9,23.25,0.5499999999999999,1.9000000000000001,4.449999999999999
sample_0099,11.9,23.3,0.4,1.9000000000000001,4.55
sample_0100,11.9,23.3,0.44999999999999996,1.9500000000000002,4.55
sample_0101,11.95,22.85,0.4,1.85,4.5
sample_0102,11.95,22.85,0.4,1.85,4.699999999999999
sample_0103,11.95,22.85,0.44999999999999996,1.75,4.5
sample_0104,11.95,22.85,0.49999999999999994,1.85,4.75
sample_0105,11.95,22.85,0.6,1.75,4.5
