episode_index,success,steps,episode_reward,final_center_freq_hz,final_bandwidth_hz,final_insertion_loss_db,final_return_loss_db,final_zero_freq_hz
1,True,1,10.140941338406389,906000000.0,44372739.66996157,1.081291272895,41.40256696824701,944000000.0
2,True,1,10.446523833676556,908000000.0,45397293.314633965,1.1055129166337465,25.01680635540851,946000000.0
3,True,1,9.856015176562304,906000000.0,46910095.69351792,1.0484630317468961,36.81821546091979,943000000.0
4,True,1,10.303931518706744,906000000.0,45228148.69281185,1.0591143877633271,30.265807037419034,944000000.0
5,True,1,9.883521527221449,906000000.0,44372739.66996157,1.081291272895,41.40256696824701,944000000.0
6,True,1,9.907008535437969,906000000.0,44324795.229999304,1.0786579922435031,44.54408490181517,944000000.0
7,True,1,10.304971280249818,903000000.0,43193489.97470939,1.1221283453279387,27.21658614813301,944000000.0
8,True,1,9.898941677821771,907000000.0,44595218.8720814,1.1001364629444688,29.694714869268125,946000000.0
9,True,1,10.030366562124229,901000000.0,48546980.57889569,1.0229526569808525,27.834916904009198,945000000.0
10,True,1,9.911441677821772,907000000.0,44595218.8720814,1.1001364629444688,29.694714869268125,946000000.0
11,True,1,9.898941677821771,907000000.0,44595218.8720814,1.1001364629444688,29.694714869268125,946000000.0
12,True,1,9.911441677821772,907000000.0,44595218.8720814,1.1001364629444688,29.694714869268125,946000000.0
