episode_index,success,steps,episode_reward,final_center_freq_hz,final_bandwidth_hz,final_insertion_loss_db,final_return_loss_db,final_zero_freq_hz
1,True,1,10.120445777040556,906000000.0,46105925.04882264,1.0585914610869203,35.67774339529834,943000000.0
2,True,1,10.484023833676556,908000000.0,45397293.314633965,1.1055129166337465,25.01680635540851,946000000.0
3,True,1,9.868515176562303,906000000.0,46910095.69351792,1.0484630317468961,36.81821546091979,943000000.0
4,True,1,10.341431518706745,906000000.0,45228148.69281185,1.0591143877633271,30.265807037419034,944000000.0
5,True,1,9.870359256535941,906000000.0,45228148.69281185,1.0591143877633271,30.265807037419034,944000000.0
6,True,1,9.86094952153241,906000000.0,46910095.69351792,1.0484630317468961,36.81821546091979,943000000.0
7,True,1,10.257362465088613,907000000.0,46230450.48008287,1.0933836212238994,35.15624193827821,945000000.0
8,True,1,9.852379444545194,908000000.0,45397293.314633965,1.1055129166337465,25.01680635540851,946000000.0
9,True,1,10.218266194469804,904000000.0,49933659.50070989,0.9941808412759017,30.451965085671944,947000000.0
10,True,1,9.877379444545195,908000000.0,45397293.314633965,1.1055129166337465,25.01680635540851,946000000.0
11,True,1,9.852379444545194,908000000.0,45397293.314633965,1.1055129166337465,25.01680635540851,946000000.0
12,True,1,9.877379444545195,908000000.0,45397293.314633965,1.1055129166337465,25.01680635540851,946000000.0
