episode_index,step_index,reward,terminated,truncated,target_satisfied,action_1,action_2,action_3,action_4,action_5,var_outer_resonator_width,var_middle_resonator_width,var_adjacent_coupling_gap,var_cross_coupling_gap,var_feed_offset,metric_main_peak_freq_hz,metric_main_peak_s21_db,metric_main_peak_s11_db,metric_best_s11_freq_hz,metric_best_s11_db,metric_passband_left_freq_hz,metric_passband_right_freq_hz,metric_bandwidth_3db_hz,metric_high_side_zero_freq_hz,metric_high_side_zero_s21_db
1,1,10.120445777040556,True,False,True,-0.38465067744255066,0.0190984345972538,0.6814836263656616,0.279678076505661,-0.7491151094436646,11.85,22.95,1.15,1.8,4.6,906000000.0,-1.0585914610869203,-35.67774339529834,906000000.0,-35.67774339529834,883124679.4256238,929230604.4744464,46105925.04882264,943000000.0,-27.797108404537756
2,1,10.484023833676556,True,False,True,-0.4262389540672302,0.012866136617958546,0.6841408014297485,0.27822744846343994,-0.7031123042106628,11.95,23.0,1.15,1.9000000000000001,4.55,908000000.0,-1.1055129166337465,-23.400549946826242,911000000.0,-25.01680635540851,884494022.7159051,929891316.030539,45397293.314633965,946000000.0,-30.635521574235337
3,1,9.868515176562303,True,False,True,-0.3762335181236267,0.017626605927944183,0.656501293182373,0.264538437128067,-0.6991121768951416,11.95,22.95,1.2,1.85,4.55,906000000.0,-1.0484630317468961,-27.191497994267003,910000000.0,-36.81821546091979,882306730.8384029,929216826.5319208,46910095.69351792,943000000.0,-28.26837368209596
4,1,10.341431518706745,True,False,True,-0.3989509344100952,0.021924804896116257,0.6879307627677917,0.2786123752593994,-0.7363621592521667,11.9,23.0,1.15,1.85,4.55,906000000.0,-1.0591143877633271,-30.265807037419034,906000000.0,-30.265807037419034,883943662.4784645,929171811.1712763,45228148.69281185,944000000.0,-27.786497132079617
5,1,9.870359256535941,True,False,True,-0.3318491280078888,0.017990104854106903,0.6325260400772095,0.2590888440608978,-0.7128967046737671,11.9,23.0,1.2,1.8,4.5,906000000.0,-1.0591143877633271,-30.265807037419034,906000000.0,-30.265807037419034,883943662.4784645,929171811.1712763,45228148.69281185,944000000.0,-27.786497132079617
6,1,9.86094952153241,True,False,True,-0.33494845032691956,0.026785284280776978,0.6489633321762085,0.26249751448631287,-0.7356272339820862,12.0,22.95,1.2,1.8,4.5,906000000.0,-1.0484630317468961,-27.191497994267003,910000000.0,-36.81821546091979,882306730.8384029,929216826.5319208,46910095.69351792,943000000.0,-28.26837368209596
7,1,10.257362465088613,True,False,True,-0.39870843291282654,0.020751941949129105,0.6869118809700012,0.27927151322364807,-0.7372163534164429,11.9,23.05,1.15,1.9000000000000001,4.6,907000000.0,-1.0933836212238994,-26.13812550245228,912000000.0,-35.15624193827821,883674727.3449014,929905177.8249843,46230450.48008287,945000000.0,-30.470840938525043
8,1,9.852379444545194,True,False,True,-0.35037586092948914,0.026366259902715683,0.6572224497795105,0.264370322227478,-0.7294882535934448,11.95,23.0,1.2,1.9000000000000001,4.55,908000000.0,-1.1055129166337465,-23.400549946826242,911000000.0,-25.01680635540851,884494022.7159051,929891316.030539,45397293.314633965,946000000.0,-30.635521574235337
9,1,10.218266194469804,True,False,True,-0.40028637647628784,0.020936593413352966,0.6876438856124878,0.27810922265052795,-0.7347233295440674,11.9,23.05,1.1,1.85,4.55,904000000.0,-0.9941808412759017,-30.451965085671944,904000000.0,-30.451965085671944,881788811.0133978,931722470.5141077,49933659.50070989,947000000.0,-29.252769716769514
10,1,9.877379444545195,True,False,True,-0.3485914170742035,0.02725999429821968,0.656597375869751,0.2644828259944916,-0.7299922704696655,11.95,23.0,1.2,1.9000000000000001,4.55,908000000.0,-1.1055129166337465,-23.400549946826242,911000000.0,-25.01680635540851,884494022.7159051,929891316.030539,45397293.314633965,946000000.0,-30.635521574235337
11,1,9.852379444545194,True,False,True,-0.35037586092948914,0.026366259902715683,0.6572224497795105,0.264370322227478,-0.7294882535934448,11.95,23.0,1.2,1.9000000000000001,4.55,908000000.0,-1.1055129166337465,-23.400549946826242,911000000.0,-25.01680635540851,884494022.7159051,929891316.030539,45397293.314633965,946000000.0,-30.635521574235337
12,1,9.877379444545195,True,False,True,-0.3487844169139862,0.027300402522087097,0.6567502021789551,0.26458629965782166,-0.730334460735321,11.95,22.95,1.2,1.9000000000000001,4.55,908000000.0,-1.1055129166337465,-23.400549946826242,911000000.0,-25.01680635540851,884494022.7159051,929891316.030539,45397293.314633965,946000000.0,-30.635521574235337
