episode_index,success,steps,episode_reward,final_center_freq_hz,final_bandwidth_hz,final_insertion_loss_db,final_return_loss_db,final_zero_freq_hz
1,False,6,-0.5495371763927758,905000000.0,51503581.17595184,0.975612531487814,34.95656220529646,946000000.0
2,False,6,-1.1424857165283144,903000000.0,54616571.443522096,1.0075522583601626,22.96296348717043,945000000.0
3,True,1,9.93435236245922,906000000.0,49529527.50815606,1.0789211613854137,24.40976317035741,942000000.0
4,False,6,-0.8362126008610725,904000000.0,53014750.67240715,0.9762608866500532,31.11860823753617,946000000.0
